Word,Frequency,Rank
advice,14,1002
spring,14,1003
Only,14,1004
order,14,1005
servants,14,1006
immediate,14,1007
staying,14,1008
consent,14,1009
story,14,1010
rich,14,1011
Suckling,14,1012
smiles,14,1013
utmost,14,1014
hair,14,1015
fresh,14,1016
following,14,1017
reply,14,1018
besides,14,1019
persuade,14,1020
master,14,1021
catch,14,1022
habit,14,1023
Can,14,1024
suspected,14,1025
deep,14,1026
tender,14,1027
endeavour,14,1028
Some,14,1029
easily,14,1030
instantly,14,1031
strange,14,1032
infinitely,14,1033
receiving,14,1034
naturally,14,1035
stop,13,1036
winter,13,1037
Who,13,1038
compassion,13,1039
attend,13,1040
wonderful,13,1041
proceeded,13,1042
suit,13,1043
civil,13,1044
boys,13,1045
bride,13,1046
suffer,13,1047
strength,13,1048
evidently,13,1049
admitted,13,1050
Martins,13,1051
harm,13,1052
parting,13,1053
around,13,1054
Richmond,13,1055
unpleasant,13,1056
boy,13,1057
month,13,1058
former,13,1059
sensations,13,1060
paper,13,1061
fit,13,1062
bed,13,1063
prospect,13,1064
solicitude,13,1065
piece,13,1066
Nash,13,1067
burst,13,1068
hearted,13,1069
Was,13,1070
girls,13,1071
post,13,1072
endure,13,1073
blind,13,1074
seldom,13,1075
judged,13,1076
Quite,13,1077
vanity,13,1078
Aye,13,1079
Come,13,1080
objection,13,1081
arrival,13,1082
confess,13,1083
light,13,1084
appears,13,1085
expecting,13,1086
public,13,1087
assist,13,1088
leisure,13,1089
fast,13,1090
Larkins,13,1091
suspicions,13,1092
willing,13,1093
window,13,1094
follow,13,1095
avoid,13,1096
separate,12,1097
advantages,12,1098
lead,12,1099
induced,12,1100
drive,12,1101
above,12,1102
clear,12,1103
throat,12,1104
awkward,12,1105
bye,12,1106
desired,12,1107
frightened,12,1108
misery,12,1109
begun,12,1110
journey,12,1111
Patty,12,1112
material,12,1113
private,12,1114
inquiry,12,1115
breakfast,12,1116
spare,12,1117
touch,12,1118
recovered,12,1119
peace,12,1120
become,12,1121
sound,12,1122
grandmama,12,1123
school,12,1124
habits,12,1125
doors,12,1126
complexion,12,1127
seated,12,1128
declare,12,1129
formed,12,1130
parlour,12,1131
increased,12,1132
becoming,12,1133
increase,12,1134
dining,12,1135
melancholy,12,1136
eat,12,1137
Could,12,1138
thus,12,1139
sooner,12,1140
finished,12,1141
fancying,12,1142
truly,12,1143
size,12,1144
feared,12,1145
break,12,1146
hard,12,1147
exclaimed,12,1148
impatient,12,1149
glance,12,1150
venture,12,1151
questions,12,1152
happen,12,1153
thorough,12,1154
wretched,12,1155
suffered,12,1156
blessing,12,1157
Vicarage,12,1158
earnestly,12,1159
moments,12,1160
preference,12,1161
claim,12,1162
decidedly,12,1163
arranged,12,1164
gallantry,12,1165
silly,12,1166
folly,12,1167
settle,12,1168
proceed,12,1169
sisters,12,1170
importance,12,1171
excepting,11,1172
step,11,1173
wholly,11,1174
families,11,1175
compared,11,1176
Never,11,1177
gallant,11,1178
extreme,11,1179
humble,11,1180
street,11,1181
lay,11,1182
Square,11,1183
borne,11,1184
remarkably,11,1185
nervous,11,1186
tells,11,1187
scruple,11,1188
points,11,1189
lively,11,1190
quarrel,11,1191
garden,11,1192
bringing,11,1193
lovely,11,1194
youth,11,1195
comparison,11,1196
Will,11,1197
companions,11,1198
carriages,11,1199
uneasy,11,1200
seat,11,1201
forced,11,1202
secured,11,1203
miserable,11,1204
add,11,1205
subjects,11,1206
warmth,11,1207
exploring,11,1208
From,11,1209
beg,11,1210
faults,11,1211
Mill,11,1212
message,11,1213
book,11,1214
continue,11,1215
madam,11,1216
closed,11,1217
steady,11,1218
confined,11,1219
paying,11,1220
wit,11,1221
patience,11,1222
places,11,1223
highest,11,1224
persuasion,11,1225
connected,11,1226
pray,11,1227
somebody,11,1228
dream,11,1229
conscious,11,1230
reserve,11,1231
advise,11,1232
Christmas,11,1233
mistress,11,1234
affections,11,1235
luck,11,1236
thanks,11,1237
invite,11,1238
cared,11,1239
prove,11,1240
disengaged,11,1241
entreat,11,1242
kindly,11,1243
accept,11,1244
dependence,11,1245
pork,11,1246
mile,11,1247
mad,11,1248
succeeded,11,1249
hot,11,1250
chair,11,1251
Certainly,11,1252
wants,11,1253
behaved,11,1254
eagerly,11,1255
keeping,11,1256
partner,11,1257
sufficient,11,1258
Brunswick,11,1259
raise,11,1260
laid,11,1261
maid,11,1262
persons,11,1263
fear,11,1264
judging,11,1265
pause,11,1266
distinct,10,1267
uneasiness,10,1268
addition,10,1269
gradually,10,1270
delicate,10,1271
grew,10,1272
daily,10,1273
figure,10,1274
agitated,10,1275
Even,10,1276
pains,10,1277
seeming,10,1278
Smallridge,10,1279
absent,10,1280
England,10,1281
success,10,1282
middle,10,1283
charm,10,1284
sentiment,10,1285
tall,10,1286
rule,10,1287
resolve,10,1288
perfection,10,1289
feels,10,1290
higher,10,1291
syllable,10,1292
positively,10,1293
fell,10,1294
bustle,10,1295
united,10,1296
scruples,10,1297
simplicity,10,1298
resources,10,1299
satisfy,10,1300
cross,10,1301
grounds,10,1302
tempered,10,1303
money,10,1304
grow,10,1305
admit,10,1306
writes,10,1307
Selina,10,1308
supper,10,1309
felicity,10,1310
forming,10,1311
peculiarly,10,1312
safety,10,1313
apparent,10,1314
lucky,10,1315
draw,10,1316
pretend,10,1317
human,10,1318
nice,10,1319
report,10,1320
connexions,10,1321
sunk,10,1322
sick,10,1323
death,10,1324
asking,10,1325
perceived,10,1326
tempted,10,1327
expressed,10,1328
civility,10,1329
six,10,1330
deeply,10,1331
leaving,10,1332
memory,10,1333
deserved,10,1334
attentive,10,1335
dared,10,1336
refused,10,1337
proposal,10,1338
removed,10,1339
intimate,10,1340
deceived,10,1341
Depend,10,1342
unless,10,1343
moving,10,1344
parted,10,1345
Wingfield,10,1346
presume,10,1347
occur,10,1348
ordered,10,1349
preferred,10,1350
honourable,10,1351
direct,10,1352
inquiries,10,1353
certainty,10,1354
fall,10,1355
evils,10,1356
income,10,1357
conveyed,10,1358
shewn,10,1359
begged,10,1360
distant,10,1361
matters,10,1362
liberal,10,1363
All,10,1364
produce,10,1365
happier,10,1366
necessity,10,1367
accepted,10,1368
employment,10,1369
properly,10,1370
court,10,1371
eagerness,10,1372
putting,10,1373
watch,10,1374
loves,9,1375
fix,9,1376
tears,9,1377
ignorant,9,1378
ran,9,1379
trusted,9,1380
baked,9,1381
reproach,9,1382
grown,9,1383
supply,9,1384
visitor,9,1385
Surry,9,1386
concerns,9,1387
clock,9,1388
tolerable,9,1389
choice,9,1390
heavy,9,1391
playing,9,1392
plans,9,1393
horse,9,1394
reserved,9,1395
secure,9,1396
carrying,9,1397
held,9,1398
quietly,9,1399
dread,9,1400
hurrying,9,1401
doubtful,9,1402
instance,9,1403
trifling,9,1404
enjoy,9,1405
continual,9,1406
hesitation,9,1407
valuable,9,1408
expression,9,1409
employed,9,1410
stopt,9,1411
progress,9,1412
prevented,9,1413
soft,9,1414
attended,9,1415
addressing,9,1416
overcome,9,1417
falling,9,1418
sacrifice,9,1419
motive,9,1420
civilities,9,1421
beloved,9,1422
terms,9,1423
admire,9,1424
dull,9,1425
address,9,1426
fairly,9,1427
opinions,9,1428
setting,9,1429
speaks,9,1430
pleasures,9,1431
gruel,9,1432
throw,9,1433
rank,9,1434
increasing,9,1435
shut,9,1436
liberty,9,1437
chose,9,1438
parish,9,1439
Their,9,1440
fellow,9,1441
previous,9,1442
Were,9,1443
collected,9,1444
sink,9,1445
shake,9,1446
receive,9,1447
quickness,9,1448
inquire,9,1449
intentions,9,1450
plaister,9,1451
convince,9,1452
talent,9,1453
forty,9,1454
quitted,9,1455
language,9,1456
governess,9,1457
shame,9,1458
resumed,9,1459
relief,9,1460
card,9,1461
windows,9,1462
failed,9,1463
conceal,9,1464
number,9,1465
shewing,9,1466
pressed,9,1467
Don,9,1468
turns,9,1469
doubted,9,1470
pretence,9,1471
illness,9,1472
foolish,9,1473
named,9,1474
fancied,9,1475
spectacles,9,1476
crowd,8,1477
dangerous,8,1478
acceptable,8,1479
expressing,8,1480
English,8,1481
Much,8,1482
water,8,1483
God,8,1484
visiting,8,1485
coolly,8,1486
reconciled,8,1487
older,8,1488
excuses,8,1489
May,8,1490
evident,8,1491
enter,8,1492
shook,8,1493
leading,8,1494
pardon,8,1495
larger,8,1496
existence,8,1497
cares,8,1498
eldest,8,1499
frequently,8,1500
tete,8,1501
staid,8,1502
displeased,8,1503
constantly,8,1504
protest,8,1505
mixture,8,1506
missed,8,1507
encouraged,8,1508
heat,8,1509
earnest,8,1510
Those,8,1511
Are,8,1512
attraction,8,1513
attending,8,1514
length,8,1515
shop,8,1516
error,8,1517
stronger,8,1518
temptation,8,1519
introduced,8,1520
Something,8,1521
talents,8,1522
passion,8,1523
tongue,8,1524
ended,8,1525
assurance,8,1526
prospects,8,1527
afforded,8,1528
perceive,8,1529
parcel,8,1530
vulgar,8,1531
Westons,8,1532
offence,8,1533
wise,8,1534
principal,8,1535
farmer,8,1536
dress,8,1537
danced,8,1538
horror,8,1539
proud,8,1540
hurried,8,1541
cake,8,1542
aloud,8,1543
depended,8,1544
played,8,1545
entire,8,1546
decision,8,1547
grace,8,1548
Elizabeth,8,1549
support,8,1550
Kingston,8,1551
dreadfully,8,1552
Another,8,1553
Yorkshire,8,1554
grave,8,1555
declined,8,1556
Though,8,1557
entering,8,1558
acting,8,1559
several,8,1560
conscience,8,1561
conclusion,8,1562
exquisite,8,1563
pleasantly,8,1564
frequent,8,1565
propriety,8,1566
End,8,1567
nearer,8,1568
suited,8,1569
amuse,8,1570
earlier,8,1571
grieved,8,1572
Bristol,8,1573
South,8,1574
carry,8,1575
apple,8,1576
supposing,8,1577
abroad,8,1578
comforts,8,1579
instant,8,1580
precious,8,1581
foot,8,1582
describe,8,1583
houses,8,1584
watching,8,1585
hurt,8,1586
natured,8,1587
takes,8,1588
discovery,8,1589
warmest,8,1590
mortified,8,1591
rose,8,1592
cheerfully,8,1593
introduce,8,1594
sore,8,1595
neighbour,8,1596
resentment,8,1597
watched,8,1598
Our,8,1599
offered,8,1600
Cox,8,1601
observing,8,1602
dressed,8,1603
indulgence,8,1604
induce,7,1605
spared,7,1606
personal,7,1607
lives,7,1608
guests,7,1609
dark,7,1610
hall,7,1611
blushed,7,1612
composure,7,1613
apt,7,1614
eating,7,1615
deny,7,1616
barouche,7,1617
detained,7,1618
approach,7,1619
amusing,7,1620
Has,7,1621
matrimony,7,1622
greatly,7,1623
Bragge,7,1624
schemes,7,1625
opposite,7,1626
ceremony,7,1627
Tuesday,7,1628
sweetness,7,1629
hastily,7,1630
twelve,7,1631
astonished,7,1632
smooth,7,1633
trade,7,1634
Till,7,1635
affected,7,1636
spread,7,1637
June,7,1638
trust,7,1639
midst,7,1640
shocked,7,1641
dances,7,1642
